k141_106,LactoPhage_3
k141_9,NA
k141_6,LactoPhage_4
k141_7,LactoPhage_1
k141_4,LactoPhage_4
k141_5,LactoPhage_0
k141_3,LactoPhage_1
k141_69,LactoPhage_4
k141_68,LactoPhage_1
k141_65,LactoPhage_0
k141_64,LactoPhage_0
k141_67,LactoPhage_3
k141_66,LactoPhage_4
k141_61,LactoPhage_1
k141_60,LactoPhage_4
k141_63,LactoPhage_3
k141_62,LactoPhage_0
k141_86,LactoPhage_3
k141_85,LactoPhage_4
k141_84,LactoPhage_4
k141_83,LactoPhage_4
k141_82,LactoPhage_4
k141_81,LactoPhage_4
k141_80,LactoPhage_1
k141_101,LactoPhage_1
k141_100,LactoPhage_4
k141_103,NA
k141_102,LactoPhage_1
k141_105,LactoPhage_1
k141_104,LactoPhage_0
k141_89,LactoPhage_4
k141_88,LactoPhage_4
k141_78,LactoPhage_1
k141_79,NA
k141_72,NA
k141_73,LactoPhage_4
k141_70,LactoPhage_4
k141_71,LactoPhage_0
k141_76,LactoPhage_4
k141_77,LactoPhage_1
k141_74,LactoPhage_4
k141_75,NA
k141_18,NA
k141_19,LactoPhage_4
k141_14,LactoPhage_4
k141_15,NA
k141_16,LactoPhage_0
k141_17,LactoPhage_4
k141_10,LactoPhage_4
k141_11,LactoPhage_1
k141_12,LactoPhage_4
k141_13,LactoPhage_4
k141_94,LactoPhage_4
k141_95,LactoPhage_3
k141_96,LactoPhage_3
k141_97,LactoPhage_4
k141_90,LactoPhage_1
k141_91,LactoPhage_0
k141_92,LactoPhage_0
k141_93,LactoPhage_1
k141_98,LactoPhage_4
k141_99,LactoPhage_4
k141_29,LactoPhage_4
k141_28,LactoPhage_0
k141_20,LactoPhage_0
k141_23,LactoPhage_3
k141_22,LactoPhage_4
k141_25,LactoPhage_0
k141_24,LactoPhage_4
k141_36,LactoPhage_4
k141_37,LactoPhage_3
k141_34,LactoPhage_4
k141_35,LactoPhage_1
k141_32,LactoPhage_1
k141_33,LactoPhage_4
k141_38,LactoPhage_1
k141_39,LactoPhage_4
k141_42,NA
k141_41,NA
k141_40,LactoPhage_1
k141_47,LactoPhage_4
k141_46,LactoPhage_4
k141_45,LactoPhage_4
k141_44,LactoPhage_1
k141_49,LactoPhage_3
k141_48,LactoPhage_0
k141_107,LactoPhage_2
k141_50,LactoPhage_4
k141_51,NA
k141_52,LactoPhage_1
k141_53,LactoPhage_4
k141_54,LactoPhage_4
k141_55,LactoPhage_0
k141_56,LactoPhage_1
k141_57,LactoPhage_4
k141_59,LactoPhage_3
